date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links,match_name,home_name,away_name
28th May 2023,4:30 PM,Emirates Stadium,h,"60,095",2,5,13,0,51,49,14,6,8,0,4,4,2,2,89,88,3,0,8,4,1,0,82.4,44.4,47.8,52.2,0,3,8,11,0,0,0,0,https://www.skysports.com/football/arsenal-vs-wolverhampton-wanderers/465005,arsenal-vs-wolverhampton-wanderers,arsenal,wolverhampton-wanderers
28th May 2023,4:30 PM,Villa Park,h,"42,212",7,2,6,1,40.3,59.7,12,8,5,4,5,3,2,1,75.3,83.6,4,3,4,3,0,6,42.9,15.4,52.2,47.8,3,3,15,16,4,4,0,0,https://www.skysports.com/football/aston-villa-vs-brighton-and-hove-albion/465006,aston-villa-vs-brighton-and-hove-albion,aston-villa,brighton-and-hove-albion
28th May 2023,4:30 PM,Gtech Community Stadium,h,"17,120",9,1,1,0,34.4,65.6,11,17,4,3,4,6,3,8,79.3,89.8,2,1,3,4,3,0,64.7,35.7,50,50,2,3,12,8,4,0,0,0,https://www.skysports.com/football/brentford-vs-manchester-city/465007,brentford-vs-manchester-city,brentford,manchester-city
28th May 2023,4:30 PM,Stamford Bridge,d,"40,130",12,1,4,1,64.4,35.6,22,13,5,4,9,5,8,4,88.9,83.3,2,2,10,3,2,1,42.9,42.9,54.5,45.5,3,5,9,11,0,0,0,0,https://www.skysports.com/football/chelsea-vs-newcastle-united/465008,chelsea-vs-newcastle-united,chelsea,newcastle-united
28th May 2023,4:30 PM,Selhurst Park,d,"25,198",11,1,16,1,66,34,15,7,3,4,8,2,4,1,85.7,69.9,1,0,5,4,2,2,40,52.6,58.3,41.7,3,2,9,13,0,2,0,0,https://www.skysports.com/football/crystal-palace-vs-nottingham-forest/465009,crystal-palace-vs-nottingham-forest,crystal-palace,nottingham-forest
28th May 2023,4:30 PM,Goodison Park,h,"39,201",17,1,15,0,37.8,62.2,13,7,6,2,5,3,2,2,73.1,83.9,0,0,9,3,0,1,50,58.3,53.8,46.2,1,5,11,12,1,3,0,0,https://www.skysports.com/football/everton-vs-bournemouth/465010,everton-vs-bournemouth,everton,bournemouth
28th May 2023,4:30 PM,Elland Road,a,"36,871",19,1,8,4,52.1,47.9,19,11,2,7,7,3,10,1,77.3,78,1,3,12,3,1,1,54.5,46.2,54.5,45.5,3,1,8,5,3,0,0,0,https://www.skysports.com/football/leeds-united-vs-tottenham-hotspur/465011,leeds-united-vs-tottenham-hotspur,leeds-united,tottenham-hotspur
28th May 2023,4:30 PM,The King Power Stadium,h,"32,183",18,2,14,1,48.2,51.8,13,16,4,3,6,9,3,4,87.8,88.7,2,1,3,5,2,3,63.6,58.8,68.8,31.3,2,2,8,10,1,1,0,0,https://www.skysports.com/football/leicester-city-vs-west-ham-united/465012,leicester-city-vs-west-ham-united,leicester-city,west-ham-united
28th May 2023,4:30 PM,Old Trafford,h,"32,183",3,2,10,1,53.2,46.8,21,10,8,3,7,6,6,1,84.2,84,4,2,5,4,1,1,78.9,66.7,46.4,53.6,2,6,14,10,1,2,0,0,https://www.skysports.com/football/manchester-united-vs-fulham/465013,manchester-united-vs-fulham,manchester-united,fulham
28th May 2023,4:30 PM,St. Mary's Stadium,d,"31,129",20,4,5,4,30.9,69.1,15,30,10,8,5,11,0,11,74.5,86.9,1,5,2,9,0,0,71.4,75,54.5,45.5,4,6,4,10,0,2,0,0,https://www.skysports.com/football/southampton-vs-liverpool/465014,southampton-vs-liverpool,southampton,liverpool
25th May 2023,8:00 PM,Old Trafford,h,"73,561",3,4,12,1,41.1,58.9,18,14,9,5,4,5,5,4,84,90.4,4,3,3,4,0,0,52.6,61.9,33.3,66.7,4,5,12,6,1,1,0,0,https://www.skysports.com/football/manchester-united-vs-chelsea/464953,manchester-united-vs-chelsea,manchester-united,chelsea
24th May 2023,8:00 PM,Amex Stadium,d,"31,388",6,1,1,1,39.6,60.4,20,13,7,4,6,6,7,3,84.2,89,2,3,5,1,2,0,50,33.3,42.9,57.1,3,6,16,11,2,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-city/464948,brighton-and-hove-albion-vs-manchester-city,brighton-and-hove-albion,manchester-city
22nd May 2023,8:00 PM,"St James' Park, Newcastle",d,"52,152",4,0,18,0,77.6,22.4,23,1,4,1,13,0,6,0,89.5,58.9,1,0,12,1,1,0,33.3,47.1,59.4,40.6,1,3,9,5,2,0,0,0,https://www.skysports.com/football/newcastle-united-vs-leicester-city/465000,newcastle-united-vs-leicester-city,newcastle-united,leicester-city
21st May 2023,1:30 PM,London Stadium,h,"62,478",14,3,19,1,58.8,41.2,19,12,9,3,4,6,6,3,80.9,72.9,4,0,9,5,1,1,72.7,60.9,73.9,26.1,2,6,6,11,1,3,0,0,https://www.skysports.com/football/west-ham-united-vs-leeds-united/465003,west-ham-united-vs-leeds-united,west-ham-united,leeds-united
21st May 2023,2:00 PM,Amex Stadium,h,"31,507",6,3,20,1,63,37,26,5,8,1,11,3,7,1,91.7,79.6,1,1,4,3,1,1,69.2,62.5,73.3,26.7,0,5,8,9,2,5,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-southampton/464996,brighton-and-hove-albion-vs-southampton,brighton-and-hove-albion,southampton
21st May 2023,4:00 PM,Etihad Stadium,h,"53,490",1,1,12,0,64.6,35.4,15,13,2,6,7,4,6,3,91.5,86.8,2,2,5,2,2,2,75,70.6,44.4,55.6,6,1,12,9,0,2,0,0,https://www.skysports.com/football/manchester-city-vs-chelsea/464999,manchester-city-vs-chelsea,manchester-city,chelsea
20th May 2023,12:30p,Tottenham Hotspur Stadium,a,"61,514",8,1,9,3,61.8,38.2,22,11,8,4,6,6,8,1,86.2,77.7,2,2,8,2,1,1,50,54.5,59.1,40.9,1,6,11,9,1,1,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-brentford/465002,tottenham-hotspur-vs-brentford,tottenham-hotspur,brentford
20th May 2023,3:00 PM,Vitality Stadium,a,"10,240",15,0,3,1,41.5,58.5,10,20,4,5,3,8,3,7,85.4,85.6,1,0,3,6,0,2,58.3,73.1,35,65,4,4,6,7,1,0,0,0,https://www.skysports.com/football/bournemouth-vs-manchester-united/464995,bournemouth-vs-manchester-united,bournemouth,manchester-united
20th May 2023,3:00 PM,Craven Cottage,d,"24,356",10,2,11,2,49.5,50.5,11,11,4,5,3,3,4,3,75.3,78.4,2,1,7,4,2,2,43.8,33.3,52,48,3,2,13,12,3,0,0,0,https://www.skysports.com/football/fulham-vs-crystal-palace/464997,fulham-vs-crystal-palace,fulham,crystal-palace
20th May 2023,3:00 PM,Anfield,d,"53,306",5,1,7,1,66.3,33.7,10,6,5,3,1,2,4,1,84.3,66.7,1,2,9,4,4,1,61.1,51.7,65,35,2,4,16,13,3,5,0,0,https://www.skysports.com/football/liverpool-vs-aston-villa/464998,liverpool-vs-aston-villa,liverpool,aston-villa
20th May 2023,3:00 PM,Molineux,d,"31,684",13,1,17,1,53.2,46.8,13,19,5,4,6,9,2,6,78.7,75.9,0,3,1,7,1,0,41.7,52.6,37.5,62.5,3,4,18,10,5,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-everton/465004,wolverhampton-wanderers-vs-everton,wolverhampton-wanderers,everton
20th May 2023,5:30 PM,The City Ground,h,"29,514",16,1,2,0,18.3,81.7,6,11,2,3,3,7,1,1,49.7,89,0,0,3,6,1,1,66.7,37.5,25,75,3,1,11,12,3,2,0,0,https://www.skysports.com/football/nottingham-forest-vs-arsenal/465001,nottingham-forest-vs-arsenal,nottingham-forest,arsenal
18th May 2023,7:30 PM,"St James' Park, Newcastle",h,"52,122",4,4,6,1,33.7,66.3,22,8,9,2,6,3,7,3,70.9,84.1,5,1,6,1,1,2,90.9,71.4,68.2,31.8,1,5,17,16,2,4,0,0,https://www.skysports.com/football/newcastle-united-vs-brighton-and-hove-albion/464882,newcastle-united-vs-brighton-and-hove-albion,newcastle-united,brighton-and-hove-albion
15th May 2023,8:00 PM,The King Power Stadium,a,"32,225",18,0,5,3,33.1,66.9,4,16,4,5,0,6,0,5,69.5,85.3,1,3,4,4,3,4,47.2,66.7,52.2,47.8,2,4,11,17,2,1,0,0,https://www.skysports.com/football/leicester-city-vs-liverpool/464992,leicester-city-vs-liverpool,leicester-city,liverpool
14th May 2023,2:00 PM,Gtech Community Stadium,h,"17,075",9,2,14,0,53.1,46.9,24,4,10,4,9,0,5,0,81.2,79,5,0,7,5,3,3,55,81.8,48.6,51.4,4,7,5,5,1,0,0,0,https://www.skysports.com/football/brentford-vs-west-ham-united/464987,brentford-vs-west-ham-united,brentford,west-ham-united
14th May 2023,2:00 PM,Goodison Park,a,"39,376",17,0,1,3,36.8,63.2,7,9,3,4,3,3,1,2,85,91,1,1,8,6,1,0,68.8,71.4,50,50,1,2,12,4,1,0,0,0,https://www.skysports.com/football/everton-vs-manchester-city/464990,everton-vs-manchester-city,everton,manchester-city
14th May 2023,4:30 PM,Emirates Stadium,a,"60,139",2,0,6,3,40.9,59.1,14,12,2,6,8,5,4,1,76.7,83.4,1,2,5,2,1,4,30,60,42.1,57.9,3,2,13,17,1,2,0,0,https://www.skysports.com/football/arsenal-vs-brighton-and-hove-albion/464985,arsenal-vs-brighton-and-hove-albion,arsenal,brighton-and-hove-albion
13th May 2023,12:30p,Elland Road,d,"36,955",19,2,4,2,36.1,63.9,9,18,4,5,3,7,2,6,64.4,80.8,0,0,2,6,0,2,52.2,57.1,37.9,62.1,3,2,16,14,3,2,1,0,https://www.skysports.com/football/leeds-united-vs-newcastle-united/464991,leeds-united-vs-newcastle-united,leeds-united,newcastle-united
13th May 2023,3:00 PM,Villa Park,h,"42,164",7,2,8,1,48.7,51.3,8,5,4,2,4,2,0,1,85,85.3,3,1,8,3,2,9,72.7,43.8,42.9,57.1,1,2,9,14,3,3,0,0,https://www.skysports.com/football/aston-villa-vs-tottenham-hotspur/464986,aston-villa-vs-tottenham-hotspur,aston-villa,tottenham-hotspur
13th May 2023,3:00 PM,Stamford Bridge,d,"40,030",12,2,16,2,76.1,23.9,14,11,6,2,3,7,5,2,89.1,60.8,1,3,2,5,1,2,64.3,53.6,55.2,44.8,0,4,13,15,3,1,0,0,https://www.skysports.com/football/chelsea-vs-nottingham-forest/464988,chelsea-vs-nottingham-forest,chelsea,nottingham-forest
13th May 2023,3:00 PM,Selhurst Park,h,"25,034",11,2,15,0,59.8,40.2,17,5,5,0,7,1,5,4,85.6,80.5,2,0,11,2,2,1,72.7,50,42.3,57.7,0,3,5,12,0,2,0,0,https://www.skysports.com/football/crystal-palace-vs-bournemouth/464989,crystal-palace-vs-bournemouth,crystal-palace,bournemouth
13th May 2023,3:00 PM,Old Trafford,h,"73,570",3,2,13,0,48,52,27,5,9,0,11,5,7,0,81.8,80.4,4,0,11,7,0,1,61.5,87.5,53.3,46.7,0,8,9,9,3,2,0,0,https://www.skysports.com/football/manchester-united-vs-wolverhampton-wanderers/464993,manchester-united-vs-wolverhampton-wanderers,manchester-united,wolverhampton-wanderers
13th May 2023,3:00 PM,St. Mary's Stadium,a,"28,978",20,0,10,2,35.6,64.4,5,9,1,4,2,1,2,4,77.9,87.5,0,2,1,8,4,1,56.3,50,63.6,36.4,1,1,17,12,2,0,0,0,https://www.skysports.com/football/southampton-vs-fulham/464994,southampton-vs-fulham,southampton,fulham
8th May 2023,3:00 PM,Craven Cottage,h,"24,442",10,5,18,3,57.1,42.9,17,18,7,9,5,4,5,5,82,76.8,2,2,2,7,1,4,63.6,57.1,64,36,6,2,13,15,0,3,0,0,https://www.skysports.com/football/fulham-vs-leicester-city/464977,fulham-vs-leicester-city,fulham,leicester-city
8th May 2023,5:30 PM,Amex Stadium,a,"31,567",6,1,17,5,77.7,22.3,23,10,5,5,9,1,9,4,88.7,65.2,2,4,15,1,1,1,63.6,57.9,45.7,54.3,1,4,11,13,1,5,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-everton/464976,brighton-and-hove-albion-vs-everton,brighton-and-hove-albion,everton
8th May 2023,8:00 PM,The City Ground,h,"29,154",16,4,20,3,35.9,64.1,9,19,4,5,3,9,2,5,69.6,83.4,1,4,2,11,3,1,40,66.7,60,40,2,0,16,10,1,0,0,0,https://www.skysports.com/football/nottingham-forest-vs-southampton/464981,nottingham-forest-vs-southampton,nottingham-forest,southampton
7th May 2023,4:30 PM,"St James' Park, Newcastle",a,"50,267",4,0,2,2,54.3,45.7,12,10,5,6,4,2,3,2,79.7,79.2,2,2,9,4,0,1,50,78.3,58.6,41.4,5,5,16,12,2,1,0,0,https://www.skysports.com/football/newcastle-united-vs-arsenal/464980,newcastle-united-vs-arsenal,newcastle-united,arsenal
7th May 2023,7:00 PM,London Stadium,h,"62,477",14,1,3,0,34.6,65.4,15,19,4,4,5,12,6,3,76.2,86.5,2,1,5,6,1,1,41.2,50,53.1,46.9,4,3,4,9,0,2,0,0,https://www.skysports.com/football/west-ham-united-vs-manchester-united/464983,west-ham-united-vs-manchester-united,west-ham-united,manchester-united
6th May 2023,3:00 PM,Vitality Stadium,a,"10,357",15,1,12,3,34,66,10,11,4,5,4,5,2,1,75.4,88.2,1,2,7,7,1,0,56.3,91.7,50,50,2,3,9,11,1,3,0,0,https://www.skysports.com/football/bournemouth-vs-chelsea/464975,bournemouth-vs-chelsea,bournemouth,chelsea
6th May 2023,3:00 PM,Etihad Stadium,h,"53,406",1,2,19,1,80.9,19.1,18,4,6,2,10,1,2,1,91.1,59.7,2,0,10,1,4,3,71.4,50,52,48,1,4,3,16,0,3,0,0,https://www.skysports.com/football/manchester-city-vs-leeds-united/464979,manchester-city-vs-leeds-united,manchester-city,leeds-united
6th May 2023,3:00 PM,Tottenham Hotspur Stadium,h,"61,093",8,1,11,0,57.5,42.5,8,7,3,2,3,3,2,2,84,75.4,3,0,8,4,1,0,46.2,73.3,63.3,36.7,2,2,15,14,3,5,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-crystal-palace/464982,tottenham-hotspur-vs-crystal-palace,tottenham-hotspur,crystal-palace
6th May 2023,3:00 PM,Molineux,h,"31,641",13,1,7,0,38,62,6,16,2,3,2,6,2,7,73.5,85.9,1,2,5,6,3,2,69.2,70,32.1,67.9,3,1,20,9,3,3,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-aston-villa/464984,wolverhampton-wanderers-vs-aston-villa,wolverhampton-wanderers,aston-villa
6th May 2023,5:30 PM,Anfield,h,"52,838",5,1,9,0,53.9,46.1,15,5,5,1,6,3,4,1,81.5,74.8,2,0,7,3,1,2,55.6,54.5,50,50,2,4,19,10,4,2,0,0,https://www.skysports.com/football/liverpool-vs-brentford/464978,liverpool-vs-brentford,liverpool,brentford
4th May 2023,8:00 PM,Amex Stadium,h,"31,577",6,1,3,0,59.6,40.4,22,16,6,5,11,6,5,5,86.3,75.6,0,2,8,6,0,2,53.3,65,63.2,36.8,5,5,10,14,4,4,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-united/464908,brighton-and-hove-albion-vs-manchester-united,brighton-and-hove-albion,manchester-united
3rd May 2023,8:00 PM,Anfield,a,"52,602",5,1,10,0,57.1,42.9,15,9,3,3,9,3,3,3,85.2,83.9,1,1,7,5,3,2,57.1,53.3,66.7,33.3,3,2,10,8,0,0,0,0,https://www.skysports.com/football/liverpool-vs-fulham/464910,liverpool-vs-fulham,liverpool,fulham
3rd May 2023,8:00 PM,Etihad Stadium,h,"53,305",1,3,14,0,68.9,31.1,16,6,7,2,7,3,2,1,90.7,78,6,1,6,3,1,0,56.3,66.7,41.7,58.3,2,4,8,8,0,1,0,0,https://www.skysports.com/football/manchester-city-vs-west-ham-united/464911,manchester-city-vs-west-ham-united,manchester-city,west-ham-united
2nd May 2023,8:00 PM,Emirates Stadium,h,"60,144",2,3,12,1,54.8,45.2,16,7,10,4,3,1,3,2,86.6,84.2,1,2,7,2,1,0,33.3,73.3,37.5,62.5,3,6,10,10,0,2,0,0,https://www.skysports.com/football/arsenal-vs-chelsea/464965,arsenal-vs-chelsea,arsenal,chelsea
1st May 2023,8:00 PM,The King Power Stadium,d,"32,173",18,2,17,2,55.3,44.7,15,23,6,8,4,9,5,6,74.1,72.1,3,1,2,9,6,3,52.6,60,47.6,52.4,6,3,10,12,4,1,0,0,https://www.skysports.com/football/leicester-city-vs-everton/464971,leicester-city-vs-everton,leicester-city,everton
30th April 2023,2:00 PM,Vitality Stadium,h,"10,434",15,4,19,1,42.1,57.9,12,15,7,6,2,7,3,2,73,80.4,2,1,2,6,2,1,50,42.1,34.3,65.7,5,3,12,14,1,0,0,0,https://www.skysports.com/football/bournemouth-vs-leeds-united/464966,bournemouth-vs-leeds-united,bournemouth,leeds-united
30th April 2023,2:00 PM,Craven Cottage,a,"24,498",10,1,1,2,37.4,62.6,4,12,1,9,1,3,2,0,81.3,87,1,1,2,5,3,1,63.6,71.4,46.9,53.1,7,0,9,10,1,3,0,0,https://www.skysports.com/football/fulham-vs-manchester-city/464970,fulham-vs-manchester-city,fulham,manchester-city
30th April 2023,2:00 PM,Old Trafford,h,"73,592",3,1,7,0,57.1,42.9,14,7,6,1,6,2,2,4,84.9,78.1,1,0,1,4,7,3,78.6,46.7,50,50,1,5,16,7,2,0,0,0,https://www.skysports.com/football/manchester-united-vs-aston-villa/464973,manchester-united-vs-aston-villa,manchester-united,aston-villa
30th April 2023,2:00 PM,"St James' Park, Newcastle",h,"52,234",4,3,20,1,63.4,36.6,22,4,5,3,9,1,8,0,81.9,69.8,3,1,11,2,1,2,41.2,69.6,75,25,2,3,7,10,1,4,0,0,https://www.skysports.com/football/newcastle-united-vs-southampton/464974,newcastle-united-vs-southampton,newcastle-united,southampton
30th April 2023,4:30 PM,Anfield,h,"53,275",5,4,8,3,67.6,32.4,12,10,4,7,4,3,4,0,88.3,73.7,2,4,5,2,0,5,68.8,62.5,74.1,25.9,3,0,12,6,3,2,0,0,https://www.skysports.com/football/liverpool-vs-tottenham-hotspur/464972,liverpool-vs-tottenham-hotspur,liverpool,tottenham-hotspur
29th April 2023,12:30p,Selhurst Park,h,"25,148",11,4,14,3,59.9,40.1,16,8,6,4,4,3,6,1,78.7,65.6,0,1,8,5,1,1,61.9,65.2,57.4,42.6,1,2,9,17,1,2,0,0,https://www.skysports.com/football/crystal-palace-vs-west-ham-united/464969,crystal-palace-vs-west-ham-united,crystal-palace,west-ham-united
29th April 2023,3:00 PM,Gtech Community Stadium,h,"17,080",9,2,16,1,68.9,31.1,14,5,8,3,3,1,3,1,84.7,68.2,0,1,6,0,1,1,55.6,61.9,48.9,51.1,2,6,6,13,1,2,0,0,https://www.skysports.com/football/brentford-vs-nottingham-forest/464967,brentford-vs-nottingham-forest,brentford,nottingham-forest
29th April 2023,3:00 PM,Amex Stadium,h,"31,584",6,6,13,0,57.2,42.8,22,10,8,2,7,5,7,3,88.2,81.4,4,0,2,5,2,0,60,56.3,90,10,2,2,14,11,1,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-wolverhampton-wanderers/464968,brighton-and-hove-albion-vs-wolverhampton-wanderers,brighton-and-hove-albion,wolverhampton-wanderers
27th April 2023,7:45 PM,Goodison Park,h,"39,248",17,1,4,4,39.6,60.4,13,15,5,8,5,3,3,4,65.3,74.8,0,1,3,14,3,1,50,50,55,45,3,4,8,6,2,1,0,0,https://www.skysports.com/football/everton-vs-newcastle-united/464956,everton-vs-newcastle-united,everton,newcastle-united
27th April 2023,7:45 PM,St. Mary's Stadium,a,"30,414",20,0,15,1,56.5,43.5,11,16,2,2,6,4,3,10,82,78.4,0,0,6,4,4,2,78.9,57.1,45.5,54.5,1,2,9,11,0,3,0,0,https://www.skysports.com/football/southampton-vs-bournemouth/464964,southampton-vs-bournemouth,southampton,bournemouth
27th April 2023,8:15 PM,Tottenham Hotspur Stadium,d,"61,586",8,2,3,2,39.9,60.1,18,17,7,8,7,5,4,4,81.4,86.3,4,3,6,8,2,3,68.4,81.3,52.2,47.8,5,5,8,7,1,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-manchester-united/464959,tottenham-hotspur-vs-manchester-united,tottenham-hotspur,manchester-united
26th April 2023,7:30 PM,The City Ground,h,"28,808",16,3,6,1,24.8,75.2,12,17,5,7,5,6,2,4,66.8,86.5,1,2,2,7,1,2,61.1,64.3,47.4,52.6,6,3,7,8,2,0,0,0,https://www.skysports.com/football/nottingham-forest-vs-brighton-and-hove-albion/464958,nottingham-forest-vs-brighton-and-hove-albion,nottingham-forest,brighton-and-hove-albion
26th April 2023,7:45 PM,Stamford Bridge,a,"39,929",12,0,9,2,72.9,27.1,15,7,4,1,8,5,3,1,88.2,65.8,1,0,5,2,0,2,50,46.2,55.9,44.1,0,4,5,13,1,2,0,0,https://www.skysports.com/football/chelsea-vs-brentford/464962,chelsea-vs-brentford,chelsea,brentford
26th April 2023,7:45 PM,London Stadium,a,"62,473",14,1,5,2,27.4,72.6,7,20,2,4,4,9,1,7,69.8,87.4,0,3,3,6,1,1,84.6,55,36.4,63.6,2,1,6,8,0,0,0,0,https://www.skysports.com/football/west-ham-united-vs-liverpool/464960,west-ham-united-vs-liverpool,west-ham-united,liverpool
26th April 2023,8:00 PM,Etihad Stadium,h,"53,482",1,4,2,1,51.9,48.1,14,8,9,2,3,3,2,3,85.1,84.7,4,0,1,3,0,1,72.7,40,55.6,44.4,1,5,13,13,3,1,0,0,https://www.skysports.com/football/manchester-city-vs-arsenal/464963,manchester-city-vs-arsenal,manchester-city,arsenal
25th April 2023,7:30 PM,Molineux,h,"30,792",13,2,11,0,41.2,58.8,9,14,3,4,4,4,2,6,73.8,81.6,0,0,6,11,2,1,38.1,54.5,55.9,44.1,4,2,13,14,5,4,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-crystal-palace/464961,wolverhampton-wanderers-vs-crystal-palace,wolverhampton-wanderers,crystal-palace
25th April 2023,7:45 PM,Villa Park,h,"41,046",7,1,10,0,51.8,48.2,14,1,3,0,4,1,7,0,83.7,81.3,0,0,8,2,0,5,63.6,38.1,65.2,34.8,0,2,6,18,3,2,0,0,https://www.skysports.com/football/aston-villa-vs-fulham/464955,aston-villa-vs-fulham,aston-villa,fulham
25th April 2023,8:00 PM,Elland Road,d,"36,666",19,1,18,1,40.8,59.2,13,15,3,3,6,6,4,6,64.2,73,3,3,3,6,4,6,50,61.9,47.1,52.9,2,2,14,15,4,2,0,0,https://www.skysports.com/football/leeds-united-vs-leicester-city/464957,leeds-united-vs-leicester-city,leeds-united,leicester-city
23rd April 2023,2:00 PM,Vitality Stadium,a,"10,465",15,0,14,4,64.6,35.4,17,18,5,10,7,4,5,4,87.1,77.7,1,3,8,5,0,3,63.6,52.9,48.4,51.6,6,5,7,8,1,2,0,0,https://www.skysports.com/football/bournemouth-vs-west-ham-united/464946,bournemouth-vs-west-ham-united,bournemouth,west-ham-united
23rd April 2023,2:00 PM,"St James' Park, Newcastle",h,"52,252",4,6,8,1,57,43,25,11,8,3,5,5,12,3,86.4,79.1,5,1,9,3,2,0,53.8,64.7,71.4,28.6,2,2,7,13,0,3,0,0,https://www.skysports.com/football/newcastle-united-vs-tottenham-hotspur/464954,newcastle-united-vs-tottenham-hotspur,newcastle-united,tottenham-hotspur
22nd April 2023,12:30p,Craven Cottage,h,"24,356",10,2,19,1,49.3,50.7,12,10,5,2,3,4,4,4,74.9,72.4,0,0,8,6,5,2,57.9,50,42.1,57.9,2,3,10,15,1,4,0,0,https://www.skysports.com/football/fulham-vs-leeds-united/464950,fulham-vs-leeds-united,fulham,leeds-united
22nd April 2023,3:00 PM,Gtech Community Stadium,d,"17,098",9,1,7,1,42.5,57.5,16,14,5,2,6,11,5,1,68.2,78.9,3,3,8,4,6,3,37.5,33.3,58.1,41.9,1,4,12,8,3,2,0,0,https://www.skysports.com/football/brentford-vs-aston-villa/464947,brentford-vs-aston-villa,brentford,aston-villa
22nd April 2023,3:00 PM,Selhurst Park,d,"25,202",11,0,17,0,56.9,43.1,12,10,2,5,5,3,5,2,74.6,67.3,0,0,8,1,1,3,73.3,64.3,41.9,58.1,5,2,12,14,1,1,0,1,https://www.skysports.com/football/crystal-palace-vs-everton/464949,crystal-palace-vs-everton,crystal-palace,everton
22nd April 2023,3:00 PM,The King Power Stadium,h,"32,053",18,2,13,1,41.8,58.2,15,16,8,3,4,7,3,6,74.2,81.7,1,0,1,7,1,3,54.5,66.7,55.3,44.7,2,5,17,16,1,3,0,0,https://www.skysports.com/football/leicester-city-vs-wolverhampton-wanderers/464951,leicester-city-vs-wolverhampton-wanderers,leicester-city,wolverhampton-wanderers
22nd April 2023,3:00 PM,Anfield,h,"53,325",5,3,16,2,81.1,18.9,18,11,6,5,7,5,5,1,87.7,52.7,5,1,9,3,2,3,57.1,73.3,57.6,42.4,3,2,9,12,0,1,0,0,https://www.skysports.com/football/liverpool-vs-nottingham-forest/464952,liverpool-vs-nottingham-forest,liverpool,nottingham-forest
21st April 2023,8:00 PM,Emirates Stadium,d,"60,175",2,3,20,3,74.2,25.8,25,8,6,6,11,1,8,1,86.1,64.6,2,2,7,2,1,2,58.8,68.2,57.7,42.3,3,2,10,14,1,5,0,0,https://www.skysports.com/football/arsenal-vs-southampton/464945,arsenal-vs-southampton,arsenal,southampton
17th April 2023,8:00 PM,Elland Road,a,"36,657",19,1,5,6,26.4,73.6,13,13,3,7,7,4,3,2,68.9,89.1,1,4,4,2,1,2,53.8,47.6,52.6,47.4,1,2,6,12,0,1,0,0,https://www.skysports.com/football/leeds-united-vs-liverpool/464938,leeds-united-vs-liverpool,leeds-united,liverpool
16th April 2023,2:00 PM,London Stadium,d,"62,475",14,2,2,2,28.5,71.5,16,11,3,5,6,4,7,2,69,87,2,2,7,2,4,1,47.1,69.2,54.8,45.2,3,1,11,8,1,2,0,0,https://www.skysports.com/football/west-ham-united-vs-arsenal/464943,west-ham-united-vs-arsenal,west-ham-united,arsenal
16th April 2023,4:30 PM,The City Ground,a,"29,435",16,0,3,2,31.8,68.2,6,22,0,8,4,9,2,5,65.1,82.9,2,4,4,9,1,3,55,83.3,46.4,53.6,5,0,9,9,2,2,0,0,https://www.skysports.com/football/nottingham-forest-vs-manchester-united/464940,nottingham-forest-vs-manchester-united,nottingham-forest,manchester-united
15th April 2023,12:30p,Villa Park,h,"42,055",7,3,4,0,52,48,16,8,6,2,6,3,4,3,78.2,78.2,3,1,7,2,1,4,61.1,61.1,42.1,57.9,2,3,13,15,1,1,0,0,https://www.skysports.com/football/aston-villa-vs-newcastle-united/464935,aston-villa-vs-newcastle-united,aston-villa,newcastle-united
15th April 2023,3:00 PM,Stamford Bridge,a,"40,126",12,1,6,2,42.6,57.4,8,26,2,10,5,10,1,6,81.4,85.6,0,1,2,8,1,1,72.2,54.2,52.9,47.1,9,1,11,11,2,2,0,0,https://www.skysports.com/football/chelsea-vs-brighton-and-hove-albion/464936,chelsea-vs-brighton-and-hove-albion,chelsea,brighton-and-hove-albion
15th April 2023,3:00 PM,Goodison Park,a,"39,241",17,1,10,3,46.5,53.5,15,21,7,7,6,9,2,5,74,75.2,3,2,4,8,1,0,71.4,64.7,50,50,4,6,10,6,3,2,0,0,https://www.skysports.com/football/everton-vs-fulham/464937,everton-vs-fulham,everton,fulham
