date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links,match_name,home_name,away_name
26/01/2021,8:15 PM,St. Mary's Stadium,a,0,20,1,2,3,58,42,13,9,5,5,5,4,3,0,85.4,77.3,0,4,4,5,2,2,64.7,53.3,47.6,52.4,1,4,11,6,1,2,0,0,https://www.skysports.com/football/southampton-vs-arsenal/stats/429035,southampton-vs-arsenal,southampton,arsenal
26/01/2021,8:15 PM,The Hawthorns,a,0,24,0,1,5,22.3,77.7,4,18,1,7,2,4,1,7,66,91.2,0,1,3,8,0,1,46.2,62.5,27,73,2,1,8,8,2,0,0,0,https://www.skysports.com/football/west-bromwich-albion-vs-manchester-city/stats/429031,west-bromwich-albion-vs-manchester-city,west-bromwich-albion,manchester-city
26/01/2021,6:00 PM,Selhurst Park,a,0,11,2,14,3,54.2,45.8,6,17,3,7,3,6,0,4,78.7,75.4,1,5,3,4,0,2,47.1,61.1,67.4,62.6,5,1,9,8,0,0,0,0,https://www.skysports.com/football/crystal-palace-vs-west-ham-united/stats/429033,crystal-palace-vs-west-ham-united,crystal-palace,west-ham-united
26/01/2021,6:00 PM,"St James' Park, Newcastle",a,0,4,1,19,2,42.3,57.7,22,9,5,2,10,4,7,3,70.9,73.3,1,0,9,5,1,0,54.5,46.7,48.1,51.9,1,4,10,15,1,3,0,0,https://www.skysports.com/football/newcastle-united-vs-leeds-united/stats/429034,newcastle-united-vs-leeds-united,newcastle-united,leeds-united
13/05/2021,6:00 PM,Villa Park,d,0,7,0,17,0,58,42,13,15,2,5,7,9,4,1,83.9,81.5,1,0,9,1,0,2,71.4,44.4,42.1,57.9,5,2,9,12,2,1,0,0,https://www.skysports.com/football/aston-villa-vs-everton/stats/429018,aston-villa-vs-everton,aston-villa,everton
18/01/2021,8:00 PM,Emirates Stadium,h,0,2,3,4,0,66.4,33.6,20,4,6,1,11,2,3,1,89.9,74.9,2,0,7,2,4,1,71.4,36.4,36,64,1,3,9,8,0,0,0,0,https://www.skysports.com/football/arsenal-vs-newcastle-united/stats/429017,arsenal-vs-newcastle-united,arsenal,newcastle-united
17/01/2021,7:15 PM,Etihad Stadium,h,0,1,4,11,0,72.2,27.8,13,2,6,0,3,1,4,1,90.4,72.2,1,0,11,1,0,0,55.6,60,53.8,46.2,0,2,9,8,0,0,0,0,https://www.skysports.com/football/manchester-city-vs-crystal-palace/stats/429023,manchester-city-vs-crystal-palace,manchester-city,crystal-palace
17/01/2021,4:30 PM,Anfield,d,0,5,0,3,0,65.7,34.3,17,8,3,4,6,1,8,3,86.4,73.3,1,1,7,3,1,8,56.3,50,27.8,72.2,4,3,15,6,2,1,0,0,https://www.skysports.com/football/liverpool-vs-manchester-united/stats/429022,liverpool-vs-manchester-united,liverpool,manchester-united
17/01/2021,2:00 PM,Bramall Lane,a,0,25,1,8,3,42,58,15,14,5,5,3,4,7,5,77.7,82.9,1,2,5,7,4,1,57.9,47.1,60.5,39.5,2,4,13,4,4,0,0,0,https://www.skysports.com/football/sheffield-united-vs-tottenham-hotspur/stats/429024,sheffield-united-vs-tottenham-hotspur,sheffield-united,tottenham-hotspur
16/01/2021,8:00 PM,The King Power Stadium,h,0,18,2,20,0,47.6,52.4,16,8,5,3,9,5,2,0,72,76.1,2,0,2,5,5,1,59.1,66.7,60,40,3,2,10,11,2,2,0,0,https://www.skysports.com/football/leicester-city-vs-southampton/stats/429021,leicester-city-vs-southampton,leicester-city,southampton
